PatientID,DataSilo,BirthDate,InsuranceStatus,SexNeuterStatus,VetCompassBreed,Bodyweight,DateofFirstPresentationofDiarrhoea,Duration,Vomiting,ReducedAppetite,Pyrexia,Hematochezia,AntibioticTreatment,GINutraceutical,DietaryManagement,Antiparasitic,GastrointestinalAgent,Resolution,ComorbidityatDiagnosis,TreatmentEscalation 
428204,0,22/03/2019 00:00,0,Female_Entire,Crossbreed,4.9,20/06/2019 00:00,48hrs to 96hrs,0,1,0,0,NonAntibiotic,GInutraceutical,1,1,0,0,0,Yes
952712,4,08/05/2019 00:00,0,Female_Entire,Sprocker,4.9,06/08/2019 00:00,24hrs to 48hrs,0,1,0,0,NonAntibiotic,GInutraceutical,0,0,0,0,1,Yes
286423,0,29/04/2019 00:00,1,Female_Neutered,Border Terrier,3.17,29/07/2019 00:00,24hrs to 48hrs,0,0,0,0,NonAntibiotic,NoGInutraceutical,0,0,0,1,0,No
814696,0,17/02/2019 00:00,0,Female_Neutered,Border Collie,6.3,19/05/2019 00:00,24hrs to 48hrs,0,0,0,0,NonAntibiotic,GInutraceutical,0,1,0,1,1,No
177256,3,15/01/2019 00:00,0,Female_Entire,Labrador Retriever,9.2,16/04/2019 00:00,48hrs to 96hrs,0,0,0,0,NonAntibiotic,NoGInutraceutical,0,1,0,1,0,No
254184,0,20/02/2019 00:00,0,Male_Neutered,Miniature Dachshund,2.85,23/05/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,GInutraceutical,0,0,0,1,0,No
804759,3,07/06/2019 00:00,0,Male_Entire,Dogue de Bordeaux,14.2,06/09/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,NoGInutraceutical,1,0,0,1,1,No
570708,1,11/05/2019 00:00,1,Male_Entire,Maltese,1.45,14/08/2019 00:00,48hrs to 96hrs,0,1,0,1,Antibiotic,GInutraceutical,0,0,0,1,0,No
341773,0,13/02/2019 00:00,0,Female_Entire,Pug,NA,19/05/2019 00:00,24hrs to 48hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
781433,4,18/11/2018 00:00,0,Female_Neutered,German Shepherd Dog,6.6,23/02/2019 00:00,Less than 24hrs,0,1,1,0,Antibiotic,GInutraceutical,0,0,0,1,0,No
521108,3,27/02/2019 00:00,0,Male_Entire,Labrador Retriever,11.5,04/06/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,NoGInutraceutical,1,1,0,0,0,Yes
626500,0,07/07/2019 00:00,1,Male_Entire,Labrador Retriever,9.65,14/10/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
822628,3,28/02/2019 00:00,1,Male_Entire,Siberian Husky,14.4,07/06/2019 00:00,48hrs to 96hrs,0,0,0,0,Antibiotic,GInutraceutical,1,0,0,1,0,No
653077,0,01/12/2018 00:00,0,Male_Neutered,French Bulldog,3.4,13/03/2019 00:00,48hrs to 96hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,1,No
957246,3,25/06/2019 00:00,0,Female_Entire,American Bulldog,5.6,05/10/2019 00:00,Less than 24hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
77876,1,21/01/2019 00:00,1,Female_Neutered,Staffordshire Bull Terrier,8,04/05/2019 00:00,48hrs to 96hrs,0,0,0,1,NonAntibiotic,GInutraceutical,0,0,0,1,0,No
689984,1,30/12/2018 00:00,1,Male_Neutered,Border Collie,9,12/04/2019 00:00,Less than 24hrs,0,1,0,0,NonAntibiotic,NoGInutraceutical,1,0,0,1,0,No
675371,0,10/05/2019 00:00,0,Male_Entire,Cocker Spaniel,3.95,23/08/2019 00:00,24hrs to 48hrs,1,0,1,0,Antibiotic,GInutraceutical,0,0,0,1,0,No
310120,1,14/03/2019 00:00,0,Male_Entire,Border Collie,7,27/06/2019 00:00,Less than 24hrs,0,0,0,0,NonAntibiotic,NoGInutraceutical,0,0,0,1,0,No
141069,1,02/01/2019 00:00,1,Male_Entire,Welsh Springer Spaniel,9.85,17/04/2019 00:00,24hrs to 48hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,1,0,1,0,No
924696,1,08/01/2019 00:00,1,Male_Entire,Crossbreed,2.6,24/04/2019 00:00,Less than 24hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
75036,4,15/01/2019 00:00,0,Male_Neutered,Cavalier King Charles Spaniel,3.77,01/05/2019 00:00,24hrs to 48hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
874475,0,04/04/2019 00:00,0,Male_Neutered,King Charles Spaniel,3.9,19/07/2019 00:00,Not Stated,0,0,0,0,Antibiotic,NoGInutraceutical,0,0,0,1,1,No
150078,0,29/07/2019 00:00,0,Male_Neutered,Cavapoo,NA,12/11/2019 00:00,Not Stated,1,0,0,0,NonAntibiotic,GInutraceutical,0,0,0,1,1,No
590780,0,04/04/2019 00:00,0,Male_Neutered,Welsh Corgi,3,22/07/2019 00:00,Less than 24hrs,0,0,0,1,NonAntibiotic,NoGInutraceutical,1,1,0,1,0,No
662009,1,29/09/2018 00:00,1,Female_Entire,German Shepherd Dog,6.35,18/01/2019 00:00,Not Stated,0,0,0,0,Antibiotic,GInutraceutical,1,0,0,1,0,No
178905,1,16/03/2019 00:00,0,Male_Entire,Cocker Spaniel,8.5,05/07/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,NoGInutraceutical,1,0,0,1,0,No
958975,4,29/09/2018 00:00,0,Male_Neutered,English Cocker Spaniel,3.94,20/01/2019 00:00,48hrs to 96hrs,0,0,0,0,NonAntibiotic,GInutraceutical,0,1,0,1,0,No
823693,0,21/09/2018 00:00,1,Female_Entire,Crossbreed,9.9,12/01/2019 00:00,48hrs to 96hrs,1,1,0,0,Antibiotic,NoGInutraceutical,0,0,0,1,1,No
94967,1,06/03/2019 00:00,0,Female_Neutered,Flat Coated Retriever,14.45,27/06/2019 00:00,24hrs to 48hrs,0,1,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
99058,4,13/07/2019 00:00,0,Male_Entire,Cockapoo,7.05,04/11/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
373578,1,10/05/2019 00:00,1,Male_Entire,Yorkshire Terrier,4,02/09/2019 00:00,48hrs to 96hrs,0,0,0,0,NonAntibiotic,GInutraceutical,0,1,0,1,0,No
801753,3,19/01/2019 00:00,0,Male_Entire,French Bulldog,10.6,07/10/2019 00:00,24hrs to 48hrs,0,0,0,0,Antibiotic,GInutraceutical,1,0,0,0,1,Yes
558890,1,07/01/2019 00:00,1,Male_Neutered,Cavalier King Charles Spaniel,5.2,04/05/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,GInutraceutical,1,1,0,0,1,Yes
655851,1,21/11/2018 00:00,0,Male_Entire,Cocker Spaniel,9.5,19/03/2019 00:00,24hrs to 48hrs,0,0,0,0,Antibiotic,GInutraceutical,1,0,0,1,0,No
661589,0,07/06/2019 00:00,1,Male_Entire,Labrador Retriever,NA,02/10/2019 00:00,Less than 24hrs,1,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,1,No
805275,0,23/11/2018 00:00,0,Male_Entire,Hungarian Vizsla,13.9,22/03/2019 00:00,48hrs to 96hrs,0,1,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
59992,3,25/12/2018 00:00,1,Female_Entire,Cocker Spaniel,NA,24/04/2019 00:00,4-7 days.,0,0,0,0,NonAntibiotic,GInutraceutical,0,0,0,1,1,No
489591,3,01/04/2019 00:00,0,Male_Entire,French Bulldog,5.5,31/07/2019 00:00,48hrs to 96hrs,0,0,0,0,NonAntibiotic,GInutraceutical,0,0,0,1,1,No
280553,4,08/06/2019 00:00,0,Female_Neutered,Crossbreed,6.43,08/10/2019 00:00,Less than 24hrs,1,0,0,0,NonAntibiotic,GInutraceutical,1,0,1,1,0,No
89958,0,01/03/2019 00:00,0,Female_Neutered,Border Collie,NA,17/10/2019 00:00,Less than 24hrs,0,0,0,0,NonAntibiotic,NoGInutraceutical,0,0,0,1,1,No
78674,0,28/01/2019 00:00,0,Female_Entire,Crossbreed,2.4,31/05/2019 00:00,48hrs to 96hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,1,0,0,0,Yes
303180,4,09/09/2018 00:00,0,Female_Neutered,Cavapoo,4.78,10/01/2019 00:00,48hrs to 96hrs,0,1,0,1,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
497332,0,30/01/2019 00:00,0,Male_Entire,Cane Corso Italiano,10.7,03/06/2019 00:00,24hrs to 48hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,1,No
36973,1,13/02/2019 00:00,0,Female_Entire,Olde English Bulldogge,15.2,17/06/2019 00:00,Less than 24hrs,1,0,0,0,NonAntibiotic,NoGInutraceutical,1,0,1,1,0,No
61582,4,20/06/2019 00:00,0,Male_Entire,Rhodesian Ridgeback,22.1,22/10/2019 00:00,24hrs to 48hrs,0,0,0,0,NonAntibiotic,NoGInutraceutical,0,0,0,1,1,No
684445,0,01/07/2019 00:00,0,Female_Entire,Shih-tzu,3.4,03/11/2019 00:00,Not Stated,1,0,1,0,Antibiotic,GInutraceutical,0,0,0,1,0,No
388847,1,14/12/2018 00:00,1,Female_Neutered,Cocker Spaniel,5.9,18/04/2019 00:00,4-7 days.,0,0,0,0,NonAntibiotic,NoGInutraceutical,1,0,0,1,1,No
854353,0,08/03/2019 00:00,0,Male_Entire,Miniature Dachshund,2.5,12/07/2019 00:00,4-7 days.,0,0,0,0,Antibiotic,GInutraceutical,0,1,0,1,0,No
185060,0,04/12/2018 00:00,0,Female_Entire,Labradoodle,7,09/04/2019 00:00,24hrs to 48hrs,0,0,0,1,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
317537,4,15/06/2019 00:00,0,Male_Neutered,Sprocker,10.25,25/10/2019 00:00,24hrs to 48hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
673412,0,08/03/2019 00:00,1,Male_Neutered,Crossbreed,NA,19/07/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,NoGInutraceutical,1,0,0,1,0,No
46595,4,15/02/2019 00:00,0,Female_Neutered,British Bulldog ,11.3,25/06/2019 00:00,Less than 24hrs,1,0,0,0,NonAntibiotic,NoGInutraceutical,1,0,0,1,0,No
809796,4,02/02/2019 00:00,0,Male_Entire,Yorkshire Terrier,3.5,18/06/2019 00:00,24hrs to 48hrs,1,1,0,0,Antibiotic,GInutraceutical,0,0,1,1,0,No
839004,4,30/11/2018 00:00,0,Female_Entire,French Bulldog,6.55,17/04/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,GInutraceutical,0,1,0,1,0,No
455820,0,22/06/2019 00:00,0,Male_Entire,English Springer Spaniel,NA,07/11/2019 00:00,48hrs to 96hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
238947,1,25/10/2018 00:00,0,Female_Entire,Whippet,7.3,14/03/2019 00:00,48hrs to 96hrs,1,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
292178,1,13/03/2019 00:00,1,Male_Entire,French Bulldog,7.81,31/07/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,GInutraceutical,1,1,0,1,0,No
405639,4,26/03/2019 00:00,0,Male_Neutered,French Bulldog,8,16/08/2019 00:00,Not Stated,0,0,0,0,NonAntibiotic,NoGInutraceutical,1,1,0,1,0,No
794834,4,04/06/2019 00:00,0,Male_Entire,Crossbreed,13,25/10/2019 00:00,Less than 24hrs,1,0,1,0,Antibiotic,GInutraceutical,1,0,1,1,0,No
588653,0,08/04/2019 00:00,0,Female_Entire,French Bulldog,6.4,02/09/2019 00:00,24hrs to 48hrs,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
101386,0,31/12/2018 00:00,0,Female_Entire,Chihuahua,2,28/05/2019 00:00,Less than 24hrs,0,0,0,0,NonAntibiotic,NoGInutraceutical,0,0,0,1,1,No
739955,0,02/07/2019 00:00,0,Female_Entire,Pomeranian,3.52,27/11/2019 00:00,Less than 24hrs,0,0,0,0,NonAntibiotic,GInutraceutical,0,0,0,1,0,No
970172,0,01/10/2018 00:00,0,Male_Neutered,Labradoodle,9.5,28/02/2019 00:00,Not Stated,1,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
981923,3,19/04/2019 00:00,0,Male_Entire,American Bulldog,NA,17/09/2019 00:00,Less than 24hrs,0,0,0,0,Antibiotic,GInutraceutical,0,1,1,1,1,No
141973,0,17/05/2019 00:00,0,Male_Entire,Shih-tzu,5.5,16/10/2019 00:00,Not Stated,1,0,0,0,NonAntibiotic,NoGInutraceutical,0,0,0,1,0,No
163036,4,06/07/2019 00:00,0,Male_Neutered,Crossbreed,5.95,06/12/2019 00:00,Not Stated,1,1,0,0,NonAntibiotic,NoGInutraceutical,0,0,0,1,0,No
463515,1,26/02/2019 00:00,0,Female_Entire,Dogue de Bordeaux,22,29/07/2019 00:00,Less than 24hrs,1,0,0,0,Antibiotic,NoGInutraceutical,1,1,0,1,0,No
181048,3,20/09/2018 00:00,0,Male_Entire,American Bulldog,NA,20/02/2019 00:00,48hrs to 96hrs,0,0,0,0,NonAntibiotic,NoGInutraceutical,1,0,0,1,0,No
872996,1,15/10/2018 00:00,0,Female_Entire,Cockapoo,6.8,18/03/2019 00:00,Less than 24hrs,1,1,0,1,NonAntibiotic,GInutraceutical,1,0,1,1,0,No
101616,1,09/08/2018 00:00,0,Male_Entire,Cocker Spaniel,8.4,10/01/2019 00:00,4-7 days.,0,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
352064,1,15/10/2018 00:00,1,Male_Neutered,French Bulldog,14,17/08/2019 00:00,48hrs to 96hrs,0,0,0,0,NonAntibiotic,NoGInutraceutical,0,0,0,1,0,No
675989,1,15/05/2019 00:00,0,Female_Neutered,Cocker Spaniel,NA,18/10/2019 00:00,Not Stated,0,0,0,0,Antibiotic,GInutraceutical,0,0,0,1,0,No
157521,4,13/07/2019 00:00,1,Female_Neutered,Parson Russell Terrier,6.15,18/12/2019 00:00,Less than 24hrs,0,0,0,0,Antibiotic,NoGInutraceutical,0,0,0,1,0,No
677998,0,15/09/2018 00:00,0,Male_Entire,Labrador Retriever,NA,21/02/2019 00:00,48hrs to 96hrs,1,0,0,0,NonAntibiotic,GInutraceutical,0,0,1,1,0,No
217442,4,14/08/2018 00:00,1,Male_Entire,English Cocker Spaniel,9.8,21/01/2019 00:00,Not Stated,0,1,1,0,NonAntibiotic,NoGInutraceutical,1,0,0,0,0,No
326989,1,25/03/2019 00:00,1,Female_Neutered,Crossbreed,9,02/09/2019 00:00,24hrs to 48hrs,1,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,0,0,Yes
967512,0,21/07/2019 00:00,0,Female_Entire,Sprocker,3.6,30/12/2019 00:00,48hrs to 96hrs,1,1,1,0,Antibiotic,NoGInutraceutical,0,0,1,1,0,No
248471,0,16/12/2018 00:00,1,Female_Neutered,Sprocker,11.5,30/05/2019 00:00,Less than 24hrs,0,0,1,0,Antibiotic,GInutraceutical,0,0,0,1,0,No
983549,0,15/06/2019 00:00,0,Female_Entire,Labrador Retriever,13.6,27/11/2019 00:00,48hrs to 96hrs,1,0,0,0,NonAntibiotic,GInutraceutical,1,0,0,1,0,No
223128,0,30/04/2019 00:00,0,Male_Neutered,Crossbreed,22,12/10/2019 00:00,Less than 24hrs,1,0,1,0,NonAntibiotic,NoGInutraceutical,1,0,1,1,0,No
