record_id	year	sex	age_and_grade	race4	race7
34784	1991	Male	17 years old;12th	White	White
40522	1991	Female	17 years old;12th	Black or African American	Black or African American
32434	1991	Male	16 years old;9th	White	White
38814	1991	Female	16 years old;10th	White	White
42208	1991	Female	18 years old or older;11th	Black or African American	Black or African American
31229	1991	Male	15 years old;11th	Black or African American	Black or African American
40294	1991	Female	17 years old;11th	White	White
41873	1991	Female	18 years old or older;12th	White	White
31230	1991	Male	15 years old;9th	White	White
34170	1991	Male	17 years old;11th	Hispanic/Latino	Hispanic/Latino
40408	1991	Female	17 years old;12th	All other races	Asian
37983	1991	Female	15 years old;9th	White	White
42521	1991	Female	18 years old or older;11th	Hispanic/Latino	Hispanic/Latino
37397	1991	Female	15 years old;9th	White	White
37310	1991	Female	15 years old;9th	White	White
41406	1991	Female	17 years old;11th	Black or African American	Black or African American
37291	1991	Female	15 years old;10th	Black or African American	Black or African American
36536	1991	Male	18 years old or older;11th	White	White
37796	1991	Female	15 years old;10th	Black or African American	Black or African American
41493	1991	Female	17 years old;12th	White	White
35367	1991	Male	18 years old or older;12th	White	White
38202	1991	Female	15 years old;10th	Hispanic/Latino	Hispanic/Latino
41832	1991	Female	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
33984	1991	Male	17 years old;11th	White	White
40402	1991	Female	17 years old;12th	Black or African American	Black or African American
31099	1991	Male	15 years old;10th	Black or African American	Black or African American
39285	1991	Female	16 years old;10th	Black or African American	Black or African American
37883	1991	Female	15 years old;10th	All other races	Asian
31148	1991	Male	15 years old;9th	White	White
31895	1991	Male	15 years old;9th	Hispanic/Latino	Hispanic/Latino
34611	1991	Male	17 years old;10th	White	White
42502	1991	Female	18 years old or older;11th	Hispanic/Latino	Hispanic/Latino
38759	1991	Female	16 years old;10th	White	White
41516	1991	Female	17 years old;10th	White	White
32858	1991	Male	16 years old;11th	Hispanic/Latino	Hispanic/Latino
38337	1991	Female	15 years old;9th	Black or African American	Black or African American
34296	1991	Male	17 years old;11th	Hispanic/Latino	Hispanic/Latino
32341	1991	Male	16 years old;10th	Black or African American	Black or African American
30950	1991	Male	14 years old;9th	White	White
37370	1991	Female	15 years old;9th	Black or African American	Black or African American
35096	1991	Male	17 years old;10th	All other races	NA
33017	1991	Male	16 years old;10th	White	White
40333	1991	Female	17 years old;11th	White	White
30791	1991	Male	14 years old;9th	Black or African American	Black or African American
37176	1991	Female	14 years old;10th	White	White
30904	1991	Male	14 years old;9th	Hispanic/Latino	Hispanic/Latino
33861	1991	Male	17 years old;12th	Black or African American	Black or African American
38012	1991	Female	15 years old;9th	Hispanic/Latino	Hispanic/Latino
32344	1991	Male	16 years old;11th	Black or African American	Black or African American
38258	1991	Female	15 years old;10th	Hispanic/Latino	Hispanic/Latino
37395	1991	Female	15 years old;9th	White	White
39134	1991	Female	16 years old;10th	Hispanic/Latino	Hispanic/Latino
40778	1991	Female	17 years old;11th	Black or African American	Black or African American
42560	1991	Female	18 years old or older;11th	Hispanic/Latino	Hispanic/Latino
41974	1991	Female	18 years old or older;12th	Black or African American	Black or African American
38764	1991	Female	16 years old;10th	Black or African American	Black or African American
36483	1991	Male	18 years old or older;11th	Hispanic/Latino	Hispanic/Latino
31053	1991	Male	15 years old;9th	White	White
32964	1991	Male	16 years old;10th	Black or African American	Black or African American
38797	1991	Female	16 years old;11th	White	White
34292	1991	Male	17 years old;12th	White	White
34108	1991	Male	17 years old;11th	Black or African American	Black or African American
34304	1991	Male	17 years old;9th	Hispanic/Latino	Hispanic/Latino
34250	1991	Male	17 years old;10th	Black or African American	Black or African American
34443	1991	Male	17 years old;12th	Hispanic/Latino	Hispanic/Latino
36161	1991	Male	18 years old or older;11th	White	White
33687	1991	Male	16 years old;11th	Hispanic/Latino	Hispanic/Latino
39126	1991	Female	16 years old;10th	Hispanic/Latino	Hispanic/Latino
34813	1991	Male	17 years old;12th	Hispanic/Latino	Hispanic/Latino
35745	1991	Male	18 years old or older;12th	Black or African American	Black or African American
35575	1991	Male	18 years old or older;11th	White	White
40320	1991	Female	17 years old;12th	White	White
31101	1991	Male	15 years old;9th	White	White
34293	1991	Male	17 years old;12th	Black or African American	Black or African American
34318	1991	Male	17 years old;10th	White	White
36596	1991	Female	13 years old;10th	Black or African American	Black or African American
41912	1991	Female	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
40751	1991	Female	17 years old;10th	Hispanic/Latino	Hispanic/Latino
35127	1991	Male	17 years old;12th	White	White
32470	1991	Male	16 years old;10th	Hispanic/Latino	Hispanic/Latino
31809	1991	Male	15 years old;9th	White	White
31120	1991	Male	15 years old;10th	White	White
31321	1991	Male	15 years old;9th	All other races	Asian
42085	1991	Female	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
34388	1991	Male	17 years old;11th	All other races	Am Indian / Alaska Native
40459	1991	Female	17 years old;10th	Black or African American	Black or African American
37780	1991	Female	15 years old;10th	Black or African American	Black or African American
31276	1991	Male	15 years old;10th	All other races	Asian
32623	1991	Male	16 years old;10th	White	White
41766	1991	Female	18 years old or older;12th	Hispanic/Latino	Hispanic/Latino
37399	1991	Female	15 years old;10th	White	White
41691	1991	Female	17 years old;12th	Hispanic/Latino	Hispanic/Latino
36734	1991	Female	14 years old;9th	Hispanic/Latino	Hispanic/Latino
40383	1991	Female	17 years old;10th	White	White
38894	1991	Female	16 years old;10th	Black or African American	Black or African American
32596	1991	Male	16 years old;9th	White	White
34010	1991	Male	17 years old;10th	Hispanic/Latino	Hispanic/Latino
37339	1991	Female	15 years old;9th	White	White
36025	1991	Male	18 years old or older;10th	Hispanic/Latino	Hispanic/Latino
41602	1991	Female	17 years old;10th	Black or African American	Black or African American
37295	1991	Female	15 years old;10th	White	White
30825	1991	Male	14 years old;9th	Black or African American	Black or African American
