record,year,How often wear bicycle helmet,Ever text while driving in past 30 days,Ever smoked,How old when first smoked,How many days smoked in past 30 days,How many cigarettes/day in past 30 days,Ever been bullied
33989,1991,Did not ride a bicycle,NA,Yes,13 or 14 years old,All 30 days,6 to 10 cigarettes,NA
266419,1997,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1310917,2013,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
400140,2001,Did not ride a bicycle,NA,Yes,17 years old or older,3 to 5 days,1 cigarette,NA
116821,1993,Rarely wore a helmet,NA,Yes,13 or 14 years old,1 or 2 days,Less than 1 cigarette,NA
114638,1993,NA,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,NA
635695,2005,Did not ride a bicycle,NA,Yes,9 or 10 years old,6 to 9 days,Less than 1 cigarette,NA
1309038,2013,Never wore a helmet,NA,Yes,11 or 12 years old,All 30 days,11 to 20 cigarettes,TRUE
922368,2009,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
323236,1999,Never wore a helmet,NA,No,Never smoked a cigarette,NA,Did not smoke cigarettes,NA
634627,2005,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
501926,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
630268,2005,Never wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
1304851,2013,Always wore a helmet,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
261513,1997,Never wore a helmet,NA,NA,Never smoked a cigarette,NA,NA,NA
40362,1991,Did not ride a bicycle,NA,NA,NA,NA,NA,NA
925677,2009,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
399625,2001,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
630473,2005,Rarely wore a helmet,NA,Yes,11 or 12 years old,3 to 5 days,2 to 5 cigarettes,NA
635862,2005,Did not ride a bicycle,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
107141,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
499319,2003,Never wore a helmet,NA,Yes,8 years old or younger,All 30 days,6 to 10 cigarettes,NA
1108512,2011,NA,NA,Yes,15 or 16 years old,6 to 9 days,2 to 5 cigarettes,NA
405835,2001,Never wore a helmet,NA,Yes,13 or 14 years old,3 to 5 days,Less than 1 cigarette,NA
120236,1993,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
507813,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
180527,1995,Never wore a helmet,NA,Yes,9 or 10 years old,0 days,Did not smoke cigarettes,NA
507722,2003,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1305391,2013,Most of the time wore a helmet,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
930852,2009,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
1315689,2013,Always wore a helmet,0 days,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,FALSE
335738,1999,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
38759,1991,Did not ride a bicycle,NA,Yes,9 or 10 years old,All 30 days,6 to 10 cigarettes,NA
107124,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
39339,1991,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1095298,2011,Rarely wore a helmet,NA,NA,13 or 14 years old,0 days,NA,FALSE
107073,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
506959,2003,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
269191,1997,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
502102,2003,NA,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
407078,2001,Never wore a helmet,NA,Yes,15 or 16 years old,1 or 2 days,2 to 5 cigarettes,NA
1312252,2013,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
35404,1991,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
183340,1995,Never wore a helmet,NA,Yes,15 or 16 years old,1 or 2 days,Less than 1 cigarette,NA
634259,2005,Did not ride a bicycle,NA,NA,NA,0 days,Did not smoke cigarettes,NA
926999,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
403612,2001,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
37994,1991,Never wore a helmet,NA,Yes,11 or 12 years old,20 to 29 days,2 to 5 cigarettes,NA
327302,1999,Sometimes wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
405187,2001,Did not ride a bicycle,NA,Yes,8 years old or younger,All 30 days,2 to 5 cigarettes,NA
329918,1999,Sometimes wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
189575,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
925204,2009,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
117622,1993,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
186087,1995,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
257445,1997,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
768341,2007,Sometimes wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
42045,1991,Did not ride a bicycle,NA,Yes,17 years old or older,0 days,Did not smoke cigarettes,NA
633196,2005,Did not ride a bicycle,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,NA
767668,2007,Never wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
107829,1993,Never wore a helmet,NA,Yes,11 or 12 years old,0 days,Did not smoke cigarettes,NA
257327,1997,Most of the time wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
120343,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1104498,2011,Rarely wore a helmet,NA,Yes,11 or 12 years old,NA,NA,TRUE
1316713,2013,Did not ride a bicycle,20 to 29 days,Yes,15 or 16 years old,All 30 days,2 to 5 cigarettes,FALSE
500150,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
117116,1993,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
770640,2007,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
399427,2001,Rarely wore a helmet,NA,Yes,15 or 16 years old,1 or 2 days,Less than 1 cigarette,NA
190267,1995,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
120275,1993,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
511767,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
328963,1999,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
633854,2005,Did not ride a bicycle,NA,Yes,17 years old or older,0 days,Did not smoke cigarettes,NA
1097900,2011,Did not ride a bicycle,NA,Yes,9 or 10 years old,3 to 5 days,2 to 5 cigarettes,FALSE
1095832,2011,Never wore a helmet,NA,Yes,11 or 12 years old,All 30 days,More than 20 cigarettes,FALSE
922666,2009,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
1309084,2013,Did not ride a bicycle,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
184966,1995,Did not ride a bicycle,NA,Yes,8 years old or younger,0 days,Did not smoke cigarettes,NA
500635,2003,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
118133,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1105493,2011,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
38795,1991,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
184850,1995,Never wore a helmet,NA,Yes,9 or 10 years old,1 or 2 days,1 cigarette,NA
1307075,2013,Rarely wore a helmet,0 days,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
635331,2005,Most of the time wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
408943,2001,Never wore a helmet,NA,Yes,15 or 16 years old,10 to 19 days,2 to 5 cigarettes,NA
331890,1999,Did not ride a bicycle,NA,Yes,11 or 12 years old,3 to 5 days,1 cigarette,NA
329704,1999,Never wore a helmet,NA,Yes,11 or 12 years old,10 to 19 days,2 to 5 cigarettes,NA
762175,2007,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
499268,2003,Never wore a helmet,NA,NA,NA,NA,NA,NA
637853,2005,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
922697,2009,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
263302,1997,Never wore a helmet,NA,NA,NA,0 days,Did not smoke cigarettes,NA
122565,1993,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
331451,1999,Did not ride a bicycle,NA,Yes,13 or 14 years old,NA,NA,NA
184779,1995,Did not ride a bicycle,NA,Yes,11 or 12 years old,20 to 29 days,2 to 5 cigarettes,NA
629599,2005,Rarely wore a helmet,NA,Yes,13 or 14 years old,NA,NA,NA
507485,2003,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
256829,1997,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
935130,2009,Rarely wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
400452,2001,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
1313233,2013,Never wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
929797,2009,Never wore a helmet,NA,NA,15 or 16 years old,0 days,Did not smoke cigarettes,FALSE
323916,1999,Never wore a helmet,NA,Yes,13 or 14 years old,0 days,Did not smoke cigarettes,NA
1097251,2011,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
638024,2005,Did not ride a bicycle,NA,Yes,15 or 16 years old,6 to 9 days,2 to 5 cigarettes,NA
334235,1999,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1102343,2011,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
766646,2007,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
332492,1999,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1095062,2011,NA,NA,NA,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
397903,2001,NA,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1306542,2013,Never wore a helmet,0 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
929490,2009,Never wore a helmet,NA,Yes,13 or 14 years old,All 30 days,11 to 20 cigarettes,FALSE
186957,1995,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
508099,2003,Did not ride a bicycle,NA,Yes,11 or 12 years old,1 or 2 days,1 cigarette,NA
111320,1993,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
1103903,2011,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,TRUE
1101396,2011,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
38705,1991,Never wore a helmet,NA,Yes,13 or 14 years old,20 to 29 days,2 to 5 cigarettes,NA
1308022,2013,Never wore a helmet,1 or 2 days,Yes,17 years old or older,1 or 2 days,Less than 1 cigarette,TRUE
40403,1991,Never wore a helmet,NA,Yes,13 or 14 years old,6 to 9 days,2 to 5 cigarettes,NA
1305013,2013,Never wore a helmet,I did not drive the past 30 days,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,FALSE
401793,2001,Did not ride a bicycle,NA,Yes,11 or 12 years old,All 30 days,11 to 20 cigarettes,NA
322243,1999,Never wore a helmet,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
31950,1991,Always wore a helmet,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
634470,2005,Did not ride a bicycle,NA,No,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
503848,2003,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
408919,2001,Did not ride a bicycle,NA,Yes,Never smoked a cigarette,0 days,Did not smoke cigarettes,NA
761933,2007,Rarely wore a helmet,NA,Yes,8 years old or younger,1 or 2 days,2 to 5 cigarettes,NA
1315044,2013,Never wore a helmet,All 30 days,Yes,15 or 16 years old,0 days,Did not smoke cigarettes,FALSE
